broken,carcase,distance,drive_unit,fuel,model,power,price,transmission,volume,year
True,седан,250000,задний,бензин, BMW 7 серия,333,450000,AT,4.5,2002
True,седан,190000,задний,бензин, BMW 5 серия,192,580000,AT,2.5,2004
True,внедорожник,130000,полный,бензин, BMW X5,260,749888,AT,3.0,2008
True,хетчбэк,165506,задний,бензин, BMW 1 серия,115,370000,AT,1.6,2008
True,внедорожник,48409,полный,дизель, BMW X6,381,4400000,AT,3.0,2014
True,седан,230000,задний,бензин, BMW 7 серия,187,150000,AT,3.0,1991
True,седан,168000,полный,бензин, BMW 5 серия,220,699000,AT,2.5,2007
True,внедорожник,215000,полный,бензин, BMW X3,218,545000,AT,2.5,2007
True,внедорожник,147000,полный,дизель, BMW X3,258,1120000,AT,3.0,2011
True,седан,35000,задний,бензин, BMW 5 серия,184,1500000,AT,2.0,2014
True,седан,148000,задний,бензин, BMW 3 серия,170,599000,AT,2.0,2011
True,внедорожник,104000,полный,дизель, BMW X6,245,1500000,AT,3.0,2010
True,внедорожник,266001,полный,бензин, BMW X5,231,450000,AT,3.0,2003
True,купе,170000,задний,бензин, BMW 3 серия,306,820000,AT,3.0,2008
True,универсал,182000,полный,дизель, BMW X5,235,1200000,AT,3.0,2009
True,седан,333000,задний,бензин, BMW 5 серия,170,240000,AT,2.5,1996
True,внедорожник,168000,полный,дизель, BMW X5,235,1450000,AT,3.0,2010
True,внедорожник,111000,полный,дизель, BMW X5,235,1625000,AT,3.0,2009
True,седан,165224,задний,бензин, BMW 5 серия,218,530000,AT,2.5,2007
True,седан,400000,задний,бензин, BMW 5 серия,170,240000,AT,2.3,2000
True,внедорожник,70000,полный,бензин, BMW X5,306,2549000,AT,3.0,2015
True,внедорожник,140000,полный,бензин, BMW X6,306,1098000,AT,3.0,2009
True,внедорожник,31462,полный,бензин, BMW X6,306,2490000,AT,3.0,2014
True,купе,124955,задний,бензин, BMW 3 серия,218,795000,AT,2.5,2010
True,внедорожник,189000,полный,бензин, BMW X5,265,600000,AT,3.0,2007
True,седан,79200,задний,дизель, BMW 5 серия,184,1399000,AT,2.0,2014
True,внедорожник,273000,полный,дизель, BMW X5,235,915000,AT,3.0,2007
True,седан,200000,задний,бензин, BMW 7 серия,326,290000,AT,5.4,2000
True,седан,300000,задний,бензин, BMW 5 серия,130,95000,MT,2.0,1990
True,универсал,250000,полный,бензин, BMW X5,231,520000,AT,3.0,2003
True,седан,364000,задний,бензин, BMW 5 серия,192,355000,MT,2.5,2003
True,хетчбэк,151000,задний,бензин, BMW 1 серия,136,640000,AT,1.6,2013
True,внедорожник,244000,полный,бензин, BMW X5,360,650000,AT,4.8,2005
